company_id	company_name	total_revenue	fashion_style	company_regions	company_operated_retail_stores	founding_year	country_of_origin	years	revenue
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2016	33510000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2017	34730000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2018	38090000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2019	40780000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2020	38250000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2021	46300000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2022	49100000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2023	51540000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2012	19370000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2013	19250000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2014	18710000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2015	18710000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2016	20860000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2017	24310000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2018	25800000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2019	26430000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2020	21950000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2021	24710000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2022	23640000000
12	Adidas	22416666667	ATHLEISURE	Europe, North America, South america, Asia-Pacific, Middle East, Africa	155.25	1949	Herzogenaurach, Germany.	company_revenue_2023	25530000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2012	473000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2013	557000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2014	707000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2015	974000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2016	1220000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2017	1502000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2018	1743500000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2019	2049100000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2020	1744400000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2021	2521000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2022	3300000000
13	Yves Saint Laurent	1664166667	CHIC	Europe, North America, Asia-Pacific, Middle East,Latin America.	26.5	1961	Pierre Bergé in France.	company_revenue_2023	3179000000
